REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,longitude,latitude
1954-05,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,729611.0,,,t,0,1,1
1954-05,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170825.0,,,,0,1,1
1954-06,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,872912.0,,,t,0,1,1
1954-06,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166019.0,,,,0,1,1
1954-07,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,837524.0,,,t,0,1,1
1954-07,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,168640.0,,,,0,1,1
1954-08,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,769805.0,,,t,0,1,1
1954-08,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166456.0,,,,0,1,1
1954-09,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,688980.0,,,t,0,1,1
1954-09,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166019.0,,,,0,1,1
1954-10,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,584563.0,,,t,0,1,1
1954-10,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,174757.0,,,,0,1,1
1954-11,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,467475.0,,,t,0,1,1
1954-11,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,173446.0,,,,0,1,1
1954-12,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,423786.0,,,t,0,1,1
1954-12,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,179126.0,,,,0,1,1
1955-01,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,391456.0,,,t,0,1,1
1955-01,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,174320.0,,,,0,1,1
1955-02,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,364805.0,,,t,0,1,1
1955-02,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166456.0,,,,0,1,1
1955-03,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,462233.0,,,t,0,1,1
1955-03,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,187864.0,,,,0,1,1
